"TRADINGDATE","FUNDCLASSID","SYMBOL","NAV","ACCUMULATIVENAV","NAVGROWTHRATE","ACCUMULATIVENAVGROWTH","ADJUSTFACTOR","ACCADJUSTFACTOR","ADJUSTEDNAV","ADJUSTEDNAVGROWTH","RISKPREMIUM","UPDATEID","UPDATESTATE","UPDATETIME","BUSINESSTIME","UTSID"
2021-10-28 00:00:00.000,202000007287,"004685",2.1707,2.1707,-0.649915,-0.649915,1.000000,1.000000,2.170700,-0.649915,-0.654015,199645807,1,2021-10-28 22:17:13.000,2021-10-28 20:52:11.000,49520093
2022-01-06 00:00:00.000,202000007287,"004685",2.6538,2.6538,0.713472,0.713472,1.000000,1.000000,2.653800,0.713472,0.709372,204366521,1,2022-01-06 22:15:13.000,2022-01-06 20:51:49.000,51070484
2022-02-16 00:00:00.000,202000007287,"004685",2.7209,2.7209,1.628506,1.628506,1.000000,1.000000,2.720900,1.628506,1.624406,261206826,1,2022-02-16 22:17:38.000,2022-02-16 21:41:53.000,51728138
2022-03-17 00:00:00.000,202000007287,"004685",2.7109,2.7109,0.545212,0.545212,1.000000,1.000000,2.710900,0.545212,0.541112,262268191,1,2022-03-18 10:14:34.000,2022-03-18 09:25:10.000,52198182
2022-04-18 00:00:00.000,202000007287,"004685",2.8240,2.8240,0.867950,0.867950,1.000000,1.000000,2.824000,0.867950,0.863850,265233567,1,2022-04-18 23:18:33.000,2022-04-18 21:45:46.000,52620118
2022-05-17 00:00:00.000,202000007287,"004685",2.7912,2.7912,0.060943,0.060943,1.000000,1.000000,2.791200,0.060943,0.056843,265803927,1,2022-05-18 01:14:01.000,2022-05-17 22:48:47.000,53153303
2022-06-13 00:00:00.000,202000007287,"004685",2.9782,2.9782,-0.026855,-0.026855,1.000000,1.000000,2.978200,-0.026855,-0.030955,266274349,1,2022-06-14 01:15:39.000,2022-06-13 22:46:47.000,53587807
2022-08-02 00:00:00.000,202000007287,"004685",3.2271,3.2271,-3.281784,-3.281784,1.000000,1.000000,3.227100,-3.281784,-3.285884,268393212,1,2022-08-02 23:16:41.000,2022-08-02 21:47:25.000,54309196
2022-08-26 00:00:00.000,202000007287,"004685",3.3970,3.3970,-0.002944,-0.002944,1.000000,1.000000,3.397000,-0.002944,-0.007044,269803294,1,2022-08-26 23:19:22.000,2022-08-26 21:46:27.000,54760827
2022-10-25 00:00:00.000,202000007287,"004685",3.2687,3.2687,-0.125275,-0.125275,1.000000,1.000000,3.268700,-0.125275,-0.129375,270763850,1,2022-10-25 23:20:56.000,2022-10-25 21:46:23.000,55486694
2018-01-08 00:00:00.000,202000007287,"004685",1.0203,1.0203,0.078470,0.078470,1.000000,1.000000,1.020300,0.078470,0.074370,41044672,1,2018-01-09 07:02:39.000,2018-01-08 21:51:56.000,16365518
2018-03-19 00:00:00.000,202000007287,"004685",1.0309,1.0309,0.029109,0.029109,1.000000,1.000000,1.030900,0.029109,0.025009,42629892,1,2018-03-20 07:27:26.000,2018-03-19 20:51:51.000,17456086
2018-05-25 00:00:00.000,202000007287,"004685",1.0462,1.0462,0.028683,0.028683,1.000000,1.000000,1.046200,0.028683,0.024583,45502424,1,2018-05-26 07:23:57.000,2018-05-25 20:51:55.000,18228373
2018-07-25 00:00:00.000,202000007287,"004685",1.0681,1.0681,0.093712,0.093712,1.000000,1.000000,1.068100,0.093712,0.089612,46967123,1,2018-07-26 08:10:37.000,2018-07-25 20:51:51.000,19088414
